GDSC_Drug,Entrez_ID,Ki_nM,source_rows,pAffinity,drug_idx,gene_idx
444732,79885,401.0,1,6.396855627379818,40,1062
444732,55869,70.0,1,7.154901959985743,40,1021
444732,10013,0.79,1,9.102372908709558,40,818
444732,9734,800.0,1,6.096910013008056,40,806
444732,10014,2190.0,1,5.6595558851598815,40,819
444795,5914,9.65,1,8.015472686656206,41,562
444795,5915,4.1,1,8.387216143280265,41,563
444795,5916,0.65,1,9.187086643357144,41,564
444795,6256,330.0,1,6.481486060122112,41,587
444795,6257,54.0,1,7.267606240177031,41,588
444795,6258,120.0,1,6.920818753952375,41,589
444795,5300,820.0,1,6.086186147616283,41,471
446378,487,0.1,1,10.0,42,43
446541,3615,10.0,1,8.0,43,335
446541,7364,1750.0,1,5.756961951313706,43,671
446541,3614,40.0,1,7.397940008672037,43,334
447912,6095,132.0,1,6.8794260687941495,44,577
447912,6097,51.0,1,7.292429823902063,44,579
447912,7376,41.0,1,7.387216143280264,44,672
447912,10062,24.0,1,7.619788758288394,44,824
46006640,55733,7400.0,1,5.130768280269024,128,1013
46224516,10919,3.7,1,8.431798275933005,129,864
462382,1508,230.0,1,6.638272163982407,45,149
462382,824,653.0,1,6.185086818724926,45,89
462382,5689,2995.0,1,5.52360317327467,45,541
462382,5693,3.7,1,8.431798275933005,45,543
462382,5690,2925.0,1,5.5338741295818,45,542
46843057,207,0.08,1,10.096910013008056,130,23
46843057,208,2.0,1,8.698970004336019,130,24
46885626,6790,491.0,1,6.308918507877031,131,630
46885626,9212,0.38,2,9.42021640338319,131,779
46885626,22974,492.0,1,6.308034897232639,131,892
46885626,6795,1.5,2,8.823908740944319,131,634
46893585,367,2200.0,1,5.657577319177793,132,36
46907787,23476,12.0,1,7.920818753952375,133,918
46907787,6046,13.0,1,7.886056647693163,133,574
46907787,8019,7.75,1,8.11069829749369,133,700
46907787,676,11.0,1,7.958607314841775,133,63
46926350,983,3.0,1,8.522878745280337,134,104
46926350,1017,1.0,1,9.0,134,106
46926350,8644,70.0,1,7.154901959985743,134,741
46943432,23476,50.0,1,7.301029995663981,135,918
46943432,6046,65.5,1,7.183758700008217,135,574
46943432,8019,61.5,1,7.211124884224583,135,700
49806720,6098,2200.0,1,5.657577319177793,136,580
49846579,596,0.9,1,9.045757490560677,137,49
49846579,598,48.0,1,7.318758762624412,137,51
49846579,599,245.0,1,6.610833915635467,137,52
49846579,572,16000.0,1,4.795880017344075,137,47
49850262,8841,1957.0,1,5.708409174341998,138,755
49850262,9759,5380.0,1,5.269217724333611,138,808
49850262,3065,1737.0,1,5.760200181552902,138,296
49850262,3066,3405.0,1,5.467882883751196,138,297
49850262,55869,1697.0,1,5.770318157682324,138,1021
49850262,10013,3.7,1,8.431798275933005,138,818
4993,1719,30.8,1,7.511449283499555,8,175
4993,1559,51500.0,1,4.288192770958809,8,157
51000408,545,55.0,1,7.259637310505756,139,45
51001932,5293,0.775,1,9.11069829749369,140,465
51001932,5296,53.0,1,7.275724130399211,140,468
51001932,5295,11.895,1,7.924635553626715,140,467
51001932,5290,0.09,1,10.045757490560677,140,462
51001932,5291,31.05,1,7.507938395487401,140,463
51001932,2475,1200.0,1,5.920818753952375,140,262
51001932,5294,0.5245,1,9.280254507470424,140,466
5113032,23411,114.0,1,6.943095148663527,52,915
51371303,6198,20.0,1,7.698970004336019,141,584
5278396,472,2.2,1,8.657577319177793,53,40
5280757,5578,0.48,1,9.318758762624412,54,500
5280757,5580,0.77,1,9.113509274827518,54,502
5284616,2280,1.0,1,9.0,55,246
5284616,2289,3.0,1,8.522878745280337,55,250
5287969,904,1.85,1,8.732828271596986,56,101
5287969,983,55.0,1,7.259637310505756,56,104
5287969,1019,40.0,1,7.397940008672037,56,108
5287969,1017,152.5,2,6.816730156317195,56,106
5287969,2931,82.0,1,7.086186147616283,56,288
5287969,1025,3.0,1,8.522878745280337,56,113
5287969,51574,3.0,1,8.522878745280337,56,979
5287969,225689,120.0,1,6.920818753952375,56,1130
5287969,10645,239.0,1,6.621602099051863,56,855
5291,10733,2200.0,1,5.657577319177793,9,858
5291,771,980.0,1,6.008773924307505,9,75
5291,25,19.5,2,7.709965388637482,9,1
5291,759,31.9,1,7.496209316942819,9,67
5291,760,30.2,1,7.519993057042849,9,68
5291,3932,6893.0,1,5.161591721505813,9,359
5291,761,528.0,1,6.277366077466188,9,69
5291,4067,8376.0,1,5.076963331329214,9,369
5291,1576,14300.0,1,4.844663962534939,9,159
5291,5159,3.0,1,8.522878745280337,9,447
5291,3815,15000.0,1,4.823908740944319,9,355
5291,6714,31000.0,1,4.508638306165727,9,618
5291,4835,39.0,1,7.4089353929735005,9,421
5291,5156,2.0,1,8.698970004336019,9,446
5291,762,4553.0,1,5.34170234969181,9,70
5291,765,392.0,1,6.406713932979542,9,72
5291,763,20200.0,1,4.694648630553377,9,71
5291,766,109.0,1,6.962573502059376,9,73
5291,6850,5000.0,1,5.301029995663981,9,635
5291,768,75.7,1,7.120904120499928,9,74
5291,10769,18000.0,1,4.7447274948966935,9,861
5291,23632,468.0,1,6.329754146925875,9,925
5291,11238,17005.0,1,4.769423363731259,9,882
52912189,23476,61.0,1,7.214670164989233,142,918
52912189,6046,29.5,1,7.530177984021837,142,574
52912189,8019,14.6,1,7.835647144215563,142,700
5311,8841,7.0,2,8.154901959985743,10,755
5311,9611,12.0,1,7.920818753952375,10,800
5311,9759,14000.0,1,4.853871964321762,10,808
5311,3065,26.5,3,7.576754126063192,10,296
5311,51564,129.0,1,6.889410289700751,10,977
5311,3066,40.0,1,7.397940008672037,10,297
5311,83933,50.0,1,7.301029995663981,10,1073
5311,79885,31.0,1,7.508638306165727,10,1062
5311,55869,480.0,1,6.318758762624412,10,1021
5311,10013,21.5,1,7.667561540084394,10,818
5311,9734,57.0,1,7.244125144327507,10,806
5311,10014,36.0,1,7.443697499232712,10,819
5328940,9088,302.0,1,6.51999305704285,57,769
5329102,10733,300.0,1,6.522878745280337,58,858
5329102,3717,410000.0,1,3.3872161432802645,58,347
5329102,9252,1700000.0,1,2.769551078621726,58,780
5329102,8986,2000000.0,1,2.6989700043360187,58,763
5329102,10298,500.0,1,6.301029995663981,58,834
5329102,5159,8.0,1,8.096910013008056,58,447
5329102,3815,410.0,1,6.3872161432802645,58,355
5329102,2321,2.0,1,8.698970004336019,58,252
5329102,3716,49000.0,1,4.309803919971486,58,346
5329102,7297,1600000.0,1,2.795880017344075,58,667
5329102,2324,17.0,1,7.769551078621726,58,254
5329102,3791,9.0,1,8.045757490560675,58,354
5329102,6197,580000.0,1,3.236572006437063,58,583
5329102,3718,1200000.0,1,2.920818753952375,58,348
5329102,8788,6.3,1,8.200659450546418,58,750
5329102,6196,4208500.0,2,2.375872668488083,58,582
5329102,6195,2570000.0,1,2.590066876668706,58,581
5329102,10769,9300.0,1,5.031517051446064,58,861
5329102,57144,500.0,1,6.301029995663981,58,1033
5329102,440275,180000.0,1,3.7447274948966935,58,1152
5329102,27330,2400000.0,1,2.6197887582883936,58,944
5330286,904,282.5,1,6.548981547844543,59,101
5330286,1019,1.9,1,8.721246399047171,59,108
5330286,595,0.2,1,9.69897000433602,59,48
5330286,1021,1108.5,2,5.955264302549493,59,110
5330286,3757,1440.0,1,5.84163750790475,59,353
53315878,10919,3.7,1,8.431798275933005,143,864
53340666,8841,123.0,1,6.910094888560602,144,755
53340666,3065,74.0,1,7.130768280269024,144,296
53340666,3066,204.0,1,6.690369832574101,144,297
53340666,10013,1.0,1,9.0,144,818
54761306,545,0.06,1,10.221848749616356,145,45
