gene1_idx,Gene1_Entrez_ID,gene2_idx,Gene2_Entrez_ID,combined_score,PPI_score
24,208,598,6446,623.0,0.623
24,208,618,6714,499.0,0.499
24,208,626,6776,454.0,0.454
24,208,817,10000,964.0,0.964
25,213,81,808,493.0,0.493
25,213,195,2023,450.0,0.45
25,213,223,2147,732.0,0.732
25,213,257,2346,543.0,0.543
25,213,398,4353,633.0,0.633
25,213,478,5340,630.0,0.63
25,213,662,7276,822.0,0.822
25,213,741,8644,443.0,0.443
27,231,420,4790,400.0,0.4
27,231,569,5929,511.0,0.511
27,231,625,6774,457.0,0.457
28,238,39,471,836.0,0.836
28,238,60,659,720.0,0.72
28,238,128,1213,486.0,0.486
28,238,211,2064,596.0,0.596
28,238,285,2885,899.0,0.899
28,238,348,3718,671.0,0.671
28,238,422,4869,943.0,0.943
28,238,462,5290,499.0,0.499
28,238,463,5291,563.0,0.563
28,238,467,5295,767.0,0.767
28,238,468,5296,548.0,0.548
28,238,612,6597,533.0,0.533
28,238,618,6714,744.0,0.744
28,238,625,6774,574.0,0.574
28,238,644,7046,715.0,0.715
28,238,645,7048,913.0,0.913
28,238,793,9451,400.0,0.4
28,238,830,10188,540.0,0.54
28,238,946,27436,988.0,0.988
29,240,285,2885,457.0,0.457
29,240,781,9261,457.0,0.457
30,317,34,331,787.0,0.787
30,317,49,596,934.0,0.934
30,317,51,598,974.0,0.974
30,317,90,842,999.0,0.999
30,317,314,3315,615.0,0.615
30,317,315,3320,986.0,0.986
30,317,316,3326,980.0,0.98
30,317,531,5610,453.0,0.453
30,317,540,5688,604.0,0.604
30,317,654,7157,510.0,0.51
30,317,820,10017,469.0,0.469
31,328,49,596,432.0,0.432
31,328,197,2033,806.0,0.806
31,328,216,2099,555.0,0.555
31,328,237,2237,983.0,0.983
31,328,300,3091,559.0,0.559
31,328,363,3980,751.0,0.751
31,328,422,4869,748.0,0.748
31,328,439,5111,631.0,0.631
31,328,576,6093,646.0,0.646
31,328,625,6774,517.0,0.517
31,328,654,7157,833.0,0.833
31,328,665,7295,962.0,0.962
31,328,708,8294,800.0,0.8
31,328,711,8359,800.0,0.8
31,328,712,8360,800.0,0.8
31,328,713,8361,800.0,0.8
31,328,714,8364,800.0,0.8
31,328,715,8365,800.0,0.8
31,328,716,8366,800.0,0.8
31,328,717,8367,800.0,0.8
31,328,718,8368,800.0,0.8
31,328,915,23411,650.0,0.65
31,328,976,51548,545.0,0.545
31,328,1102,121504,800.0,0.8
32,329,33,330,996.0,0.996
32,329,34,331,991.0,0.991
32,329,64,695,932.0,0.932
32,329,90,842,879.0,0.879
32,329,123,1147,540.0,0.54
32,329,173,1654,777.0,0.777
32,329,289,2932,411.0,0.411
32,329,330,3551,646.0,0.646
32,329,384,4214,435.0,0.435
32,329,559,5879,457.0,0.457
32,329,571,5970,457.0,0.457
32,329,637,6885,701.0,0.701
32,329,650,7124,861.0,0.861
32,329,659,7184,483.0,0.483
32,329,747,8737,997.0,0.997
32,329,748,8767,457.0,0.457
32,329,802,9641,630.0,0.63
32,329,843,10454,510.0,0.51
32,329,954,29110,620.0,0.62
32,329,1054,79444,523.0,0.523
33,330,34,331,992.0,0.992
33,330,90,842,686.0,0.686
33,330,123,1147,499.0,0.499
33,330,173,1654,625.0,0.625
33,330,289,2932,411.0,0.411
33,330,330,3551,789.0,0.789
33,330,342,3654,400.0,0.4
33,330,420,4790,734.0,0.734
33,330,571,5970,638.0,0.638
33,330,637,6885,561.0,0.561
33,330,650,7124,843.0,0.843
33,330,747,8737,997.0,0.997
33,330,748,8767,457.0,0.457
33,330,760,8877,546.0,0.546
33,330,802,9641,630.0,0.63
33,330,843,10454,599.0,0.599
33,330,954,29110,499.0,0.499
34,331,49,596,665.0,0.665
34,331,51,598,410.0,0.41
34,331,90,842,999.0,0.999
34,331,123,1147,499.0,0.499
34,331,147,1488,528.0,0.528
34,331,193,1994,457.0,0.457
34,331,289,2932,618.0,0.618
34,331,330,3551,644.0,0.644
34,331,338,3635,459.0,0.459
34,331,382,4193,743.0,0.743
34,331,559,5879,457.0,0.457
34,331,561,5894,657.0,0.657
34,331,637,6885,805.0,0.805
34,331,644,7046,775.0,0.775
34,331,650,7124,500.0,0.5
34,331,706,8239,400.0,0.4
34,331,747,8737,803.0,0.803
34,331,748,8767,989.0,0.989
34,331,802,9641,630.0,0.63
34,331,843,10454,999.0,0.999
34,331,859,10746,653.0,0.653
34,331,954,29110,716.0,0.716
34,331,1041,64127,457.0,0.457
34,331,1054,79444,567.0,0.567
35,351,136,1387,669.0,0.669
35,351,175,1719,441.0,0.441
35,351,186,1956,741.0,0.741
35,351,195,2023,601.0,0.601
35,351,197,2033,937.0,0.937
35,351,205,2048,542.0,0.542
35,351,227,2160,937.0,0.937
35,351,264,2534,534.0,0.534
35,351,268,2597,543.0,0.543
35,351,285,2885,922.0,0.922
35,351,287,2923,686.0,0.686
35,351,288,2931,836.0,0.836
35,351,289,2932,549.0,0.549
35,351,292,3005,422.0,0.422
35,351,293,3028,744.0,0.744
35,351,305,3163,545.0,0.545
35,351,308,3276,410.0,0.41
35,351,312,3312,578.0,0.578
35,351,317,3329,895.0,0.895
35,351,387,4217,542.0,0.542
35,351,424,4914,736.0,0.736
35,351,478,5340,403.0,0.403
35,351,480,5444,720.0,0.72
35,351,515,5594,707.0,0.707
35,351,516,5595,499.0,0.499
35,351,520,5599,514.0,0.514
35,351,533,5644,460.0,0.46
35,351,534,5663,975.0,0.975
35,351,597,6431,438.0,0.438
35,351,614,6622,702.0,0.702
35,351,625,6774,529.0,0.529
35,351,662,7276,894.0,0.894
35,351,761,8883,998.0,0.998
35,351,766,9039,522.0,0.522
35,351,848,10498,621.0,0.621
35,351,916,23435,585.0,0.585
35,351,924,23621,989.0,0.989
35,351,1020,55851,806.0,0.806
35,351,1121,200576,631.0,0.631
36,367,48,595,738.0,0.738
36,367,62,673,416.0,0.416
36,367,110,1021,405.0,0.405
36,367,111,1022,457.0,0.457
36,367,136,1387,829.0,0.829
36,367,186,1956,500.0,0.5
36,367,193,1994,487.0,0.487
36,367,197,2033,644.0,0.644
36,367,214,2078,457.0,0.457
36,367,216,2099,967.0,0.967
36,367,220,2115,579.0,0.579
36,367,222,2146,919.0,0.919
36,367,249,2288,860.0,0.86
36,367,250,2289,457.0,0.457
36,367,286,2908,766.0,0.766
36,367,289,2932,701.0,0.701
36,367,296,3065,826.0,0.826
36,367,300,3091,652.0,0.652
36,367,315,3320,997.0,0.997
36,367,316,3326,997.0,0.997
36,367,328,3480,535.0,0.535
36,367,357,3838,434.0,0.434
36,367,382,4193,975.0,0.975
36,367,434,5052,593.0,0.593
36,367,454,5241,675.0,0.675
36,367,467,5295,519.0,0.519
36,367,482,5469,716.0,0.716
36,367,501,5579,497.0,0.497
36,367,507,5585,700.0,0.7
36,367,512,5591,457.0,0.457
36,367,566,5925,457.0,0.457
36,367,574,6046,620.0,0.62
36,367,611,6595,457.0,0.457
