node_idx,Entrez_ID
965,51079
966,51086
967,51135
968,51185
969,51206
970,51265
971,51347
972,51377
973,51422
974,51441
975,51520
976,51548
977,51564
978,51567
979,51574
980,51592
981,51701
982,51752
983,51755
984,51765
985,51776
986,51780
987,53831
988,53904
989,53944
990,54496
991,54505
992,54578
993,54583
994,54625
995,54657
996,54658
997,54681
998,54790
999,54799
1000,54861
1001,54904
1002,54956
1003,54998
1004,55031
1005,55193
1006,55236
1007,55244
1008,55351
1009,55486
1010,55561
1011,55589
1012,55611
1013,55733
1014,55737
1015,55768
1016,55775
1017,55781
1018,55818
1019,55847
1020,55851
1021,55869
1022,55872
1023,56603
1024,56649
1025,56848
1026,56924
1027,56965
1028,56997
1029,57097
1030,57104
1031,57118
1032,57142
1033,57144
1034,57172
1035,57396
1036,57551
1037,57599
1038,57646
1039,57787
1040,60481
1041,64127
1042,64223
1043,64324
1044,64761
1045,64840
1046,65061
1047,65125
1048,65267
1049,65268
1050,65975
1051,65980
1052,79077
1053,79109
1054,79444
1055,79668
1056,79723
1057,79811
1058,79813
1059,79834
1060,79837
1061,79858
1062,79885
1063,79934
1064,80122
1065,80312
1066,80347
1067,80351
1068,80854
1069,81629
1070,81788
1071,83732
1072,83903
1073,83933
1074,83942
1075,83983
1076,84126
1077,84254
1078,84293
1079,84444
1080,84446
1081,84451
1082,84456
1083,84650
1084,84678
1085,84790
1086,84864
1087,84875
1088,84991
1089,85366
1090,85443
1091,89780
1092,89874
1093,91133
1094,91754
1095,91807
1096,92737
1097,112858
1098,113235
1099,114783
1100,115004
1101,120892
1102,121504
1103,122011
1104,130497
1105,131890
1106,138474
1107,139728
1108,140469
1109,140609
1110,140735
1111,140901
1112,146802
1113,147746
1114,150094
1115,154807
1116,165631
1117,166614
1118,167359
1119,197259
1120,200424
1121,200576
1122,201626
1123,202374
1124,203068
1125,204851
1126,206358
1127,219771
1128,219972
1129,221656
1130,225689
1131,246243
1132,253260
1133,255239
1134,256281
1135,282974
1136,283106
1137,283455
1138,284086
1139,285220
1140,340061
1141,340156
1142,341676
1143,347734
1144,373156
1145,374291
1146,377677
1147,387893
1148,388228
1149,389840
1150,390245
1151,415116
1152,440275
1153,493856
1154,494551
1155,728642
1156,100130827
