node_idx,old_node_idx,GDSC_Cell,DepMap_ModelID,SIDM,DepMap_CellLineName,DepMap_StrippedCellLineName,COSMICID,CCLEName
498,519,SIDM00899,ACH-000222,SIDM00899,AsPC-1,ASPC1,910702.0,ASPC1_PANCREAS
499,520,SIDM01030,ACH-000693,SIDM01030,KYSE-180,KYSE180,907318.0,KYSE180_OESOPHAGUS
500,521,SIDM00844,ACH-000654,SIDM00844,Raji,RAJI,909262.0,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
501,522,SIDM01147,ACH-000427,SIDM01147,NCI-N87,NCIN87,908461.0,NCIN87_STOMACH
502,523,SIDM00505,ACH-000601,SIDM00505,MIA PaCa-2,MIAPACA2,724870.0,MIAPACA2_PANCREAS
503,524,SIDM00495,ACH-000697,SIDM00495,A3/KAW,A3KAW,910935.0,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
504,526,SIDM00387,ACH-000078,SIDM00387,MHH-NB-11,MHHNB11,908135.0,MHHNB11_AUTONOMIC_GANGLIA
505,527,SIDM00421,ACH-000226,SIDM00421,SUP-M2,SUPM2,1331040.0,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
506,529,SIDM00132,ACH-000535,SIDM00132,BxPC-3,BXPC3,906693.0,BXPC3_PANCREAS
507,530,SIDM00584,ACH-002142,SIDM00584,HuO-3N1,HUO3N1,909977.0,HUO3N1_BONE
508,531,SIDM00043,ACH-002297,SIDM00043,PCI-4B,PCI4B,1298531.0,PCI4B_UPPER_AERODIGESTIVE_TRACT
509,532,SIDM00498,ACH-000970,SIDM00498,SNU-C5,SNUC5,1674021.0,SNUC5_LARGE_INTESTINE
510,533,SIDM01100,ACH-000366,SIDM01100,SK-N-DZ,SKNDZ,688086.0,SKNDZ_AUTONOMIC_GANGLIA
511,534,SIDM00819,ACH-002189,SIDM00819,RCC-FG2,RCCFG2,1524414.0,RCCFG2_KIDNEY
512,535,SIDM01005,ACH-000263,SIDM01005,KASUMI-1,KASUMI1,907275.0,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
513,536,SIDM00088,ACH-000090,SIDM00088,PC-3,PC3,905934.0,PC3_PROSTATE
514,537,SIDM01162,ACH-001398,SIDM01162,SW 156,SW156,1240220.0,SW156_KIDNEY
515,538,SIDM00406,ACH-000660,SIDM00406,SU-DHL-5,SUDHL5,1331036.0,SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
516,539,SIDM01101,ACH-000260,SIDM01101,SK-N-AS,SKNAS,724828.0,SKNAS_AUTONOMIC_GANGLIA
517,540,SIDM00998,ACH-000137,SIDM00998,8-MG-BA,8MGBA,687562.0,8MGBA_CENTRAL_NERVOUS_SYSTEM
518,541,SIDM00939,ACH-000826,SIDM00939,CAL-12T,CAL12T,753540.0,CAL12T_LUNG
519,542,SIDM01139,ACH-000042,SIDM01139,Panc 02.03,PANC0203,1298475.0,PANC0203_PANCREAS
520,543,SIDM00839,ACH-000950,SIDM00839,LoVo,LOVO,907790.0,LOVO_LARGE_INTESTINE
521,544,SIDM00193,ACH-000991,SIDM00193,SNU-81,SNU81,1660036.0,SNU81_LARGE_INTESTINE
522,545,SIDM00045,ACH-002141,SIDM00045,HSC-39,HSC39,1322224.0,HSC39_STOMACH
523,546,SIDM00363,ACH-000770,SIDM00363,P31/FUJ,P31FUJ,909253.0,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
524,547,SIDM00655,ACH-001578,SIDM00655,NCCIT,NCCIT,908441.0,NCCIT_TESTIS
525,548,SIDM00395,ACH-000099,SIDM00395,SIMA,SIMA,753620.0,SIMA_AUTONOMIC_GANGLIA
526,549,SIDM00850,ACH-000880,SIDM00850,AGS,AGS,906790.0,AGS_STOMACH
527,550,SIDM01265,ACH-000763,SIDM01265,MM1-S,MM1S,1659818.0,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
528,551,SIDM00455,ACH-000599,SIDM00455,PA-TU-8902,PATU8902,1298526.0,PATU8902_PANCREAS
529,552,SIDM00591,ACH-002045,SIDM00591,HO-1-u-1,HO1U1,,HO1U1_UPPER_AERODIGESTIVE_TRACT
530,553,SIDM01197,ACH-000722,SIDM01197,SNU-C1,SNUC1,910905.0,SNUC1_LARGE_INTESTINE
531,554,SIDM00578,ACH-000804,SIDM00578,NB-1,NB1,949179.0,NB1_AUTONOMIC_GANGLIA
532,555,SIDM00399,ACH-001227,SIDM00399,UPCI-SCC-090,UPCISCC090,1299052.0,UPCISCC090_UPPER_AERODIGESTIVE_TRACT
533,556,SIDM00791,ACH-000551,SIDM00791,K-562,K562,905940.0,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
534,557,SIDM00493,ACH-001075,SIDM00493,NCI-H292,NCIH292,753604.0,NCIH292_LUNG
535,558,SIDM01137,ACH-000235,SIDM01137,Panc 04.03,PANC0403,1298476.0,PANC0403_PANCREAS
536,559,SIDM00683,ACH-000977,SIDM00683,LNCaP clone FGC,LNCAPCLONEFGC,907788.0,LNCAPCLONEFGC_PROSTATE
537,560,SIDM00905,ACH-001334,SIDM00905,C-4 I,C4I,687506.0,C4I_CERVIX
538,561,SIDM01043,ACH-000913,SIDM01043,ESS-1,ESS1,907000.0,ESS1_ENDOMETRIUM
539,562,SIDM00419,ACH-000424,SIDM00419,TC-71,TC71,1240221.0,TC71_BONE
540,563,SIDM00582,ACH-000281,SIDM00582,KP-2,KP2,1298218.0,KP2_PANCREAS
541,564,SIDM00884,ACH-000699,SIDM00884,HCC1395,HCC1395,749712.0,HCC1395_BREAST
542,565,SIDM00690,ACH-002251,SIDM00690,JHU-029,JHU029,1298156.0,JHU029_UPPER_AERODIGESTIVE_TRACT
543,566,SIDM00590,ACH-000472,SIDM00590,HSC-2,HSC2,753562.0,HSC2_UPPER_AERODIGESTIVE_TRACT
544,567,SIDM00373,ACH-000974,SIDM00373,SNG-M,SNGM,909735.0,SNGM_ENDOMETRIUM
545,568,SIDM00253,ACH-002284,SIDM00253,NB6,NB6,949173.0,NB6_AUTONOMIC_GANGLIA
546,570,SIDM01013,ACH-000106,SIDM01013,JVM-2,JVM2,907269.0,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
547,571,SIDM00867,ACH-000863,SIDM00867,DBTRG-05MG,DBTRG05MG,906835.0,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
548,572,SIDM00556,ACH-000227,SIDM00556,KP-N-YN,KPNYN,907314.0,KPNYN_AUTONOMIC_GANGLIA
549,573,SIDM00965,ACH-000800,SIDM00965,NCI-H446,NCIH446,688023.0,NCIH446_LUNG
550,574,SIDM00327,ACH-000754,SIDM00327,L-428,L428,907322.0,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
551,575,SIDM00551,ACH-002263,SIDM00551,KYSE-220,KYSE220,1240167.0,KYSE220_OESOPHAGUS
552,576,SIDM00629,ACH-000573,SIDM00629,MDA-MB-436,MDAMB436,1240172.0,MDAMB436_BREAST
553,577,SIDM00462,ACH-000336,SIDM00462,OCI-AML3,OCIAML3,1290455.0,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
554,578,SIDM00675,ACH-000276,SIDM00675,HCC38,HCC38,749717.0,HCC38_BREAST
555,579,SIDM01088,ACH-000965,SIDM01088,RL95-2,RL952,930082.0,RL952_ENDOMETRIUM
556,580,SIDM00708,ACH-000841,SIDM00708,NCI-H2087,NCIH2087,724834.0,NCIH2087_LUNG
557,581,SIDM00209,ACH-002228,SIDM00209,D-423MG,D423MG,946372.0,D423MG_CENTRAL_NERVOUS_SYSTEM
558,582,SIDM00996,ACH-001307,SIDM00996,8505C,8505C,924102.0,8505C_THYROID
559,583,SIDM00689,ACH-000151,SIDM00689,JM1,JM1,1327768.0,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
560,584,SIDM00958,ACH-000920,SIDM00958,CML-T1,CMLT1,910951.0,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
561,585,SIDM00931,ACH-000174,SIDM00931,CAL-62,CAL62,906828.0,CAL62_THYROID
562,586,SIDM01168,ACH-001399,SIDM01168,SW 626,SW626,909753.0,SW626_LARGE_INTESTINE
563,588,SIDM00522,ACH-000749,SIDM00522,DMS 273,DMS273,687985.0,DMS273_LUNG
564,589,SIDM00968,ACH-002140,SIDM00968,Hey,HEY,1479988.0,HEY_OVARY
565,590,SIDM00640,ACH-000335,SIDM00640,MSTO-211H,MSTO211H,908152.0,MSTO211H_PLEURA
566,591,SIDM00449,ACH-000922,SIDM00449,RCH-ACV,RCHACV,1330994.0,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
567,592,SIDM00250,ACH-000917,SIDM00250,TE-4,TE4,1503371.0,TE4_OESOPHAGUS
568,593,SIDM00252,ACH-001861,SIDM00252,TGBC1TKB,TGBC1TKB,,TGBC1TKB_BILIARY_TRACT
569,594,SIDM00242,ACH-002067,SIDM00242,NOS-1,NOS1,,NOS1_BONE
570,595,SIDM01112,ACH-000748,SIDM01112,SJSA-1,SJSA1,909717.0,SJSA1_BONE
571,596,SIDM00150,ACH-000969,SIDM00150,KM12,KM12,905989.0,KM12_LARGE_INTESTINE
572,597,SIDM00499,ACH-000956,SIDM00499,22Rv1,22RV1,924100.0,22RV1_PROSTATE
573,598,SIDM00182,ACH-002265,SIDM00182,LB771-HNC,LB771HNC,753583.0,LB771HNC_UPPER_AERODIGESTIVE_TRACT
574,599,SIDM00187,ACH-002150,SIDM00187,LB1047-RCC,LB1047RCC,753577.0,LB1047RCC_KIDNEY
575,600,SIDM01033,ACH-000486,SIDM01033,KU-19-19,KU1919,907312.0,KU1919_URINARY_TRACT
576,601,SIDM00425,ACH-000663,SIDM00425,OVTOKO,OVTOKO,1298365.0,OVTOKO_OVARY
577,602,SIDM01041,ACH-001500,SIDM01041,FLO-1,FLO1,1503361.0,FLO1_OESOPHAGUS
578,603,SIDM00608,ACH-000714,SIDM00608,KMS-11,KMS11,1659817.0,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
579,604,SIDM01191,ACH-000364,SIDM01191,U-2 OS,U2OS,909776.0,U2OS_BONE
580,605,SIDM00702,ACH-000311,SIDM00702,NCI-H2122,NCIH2122,722046.0,NCIH2122_LUNG
581,606,SIDM00334,ACH-000879,SIDM00334,MFE-296,MFE296,908130.0,MFE296_ENDOMETRIUM
582,607,SIDM00300,ACH-002156,SIDM00300,LC-1-sq,LC1SQ,1298223.0,LC1SQ_LUNG
583,608,SIDM00139,ACH-000367,SIDM00139,NCI-H226,NCIH226,905941.0,NCIH226_LUNG
584,609,SIDM01188,ACH-000114,SIDM01188,SU.86.86,SU8686,1240218.0,SU8686_PANCREAS
585,610,SIDM01156,ACH-000890,SIDM01156,SW 1271,SW1271,1299062.0,SW1271_LUNG
586,611,SIDM00779,ACH-000491,SIDM00779,NCI-H716,NCIH716,908458.0,NCIH716_LARGE_INTESTINE
587,612,SIDM01016,ACH-000995,SIDM01016,JURKAT,JURKAT,998184.0,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
588,613,SIDM00504,ACH-001126,SIDM00504,MOG-G-UVW,MOGGUVW,908145.0,MOGGUVW_CENTRAL_NERVOUS_SYSTEM
589,614,SIDM01037,ACH-000711,SIDM01037,JIMT-1,JIMT1,1298157.0,JIMT1_BREAST
590,615,SIDM00472,ACH-001630,SIDM00472,PEO1,PEO1,1480372.0,PEO1_OVARY
591,616,SIDM00042,ACH-002186,SIDM00042,PL4,PL4,1298533.0,PL4_PANCREAS
