Molecule_ChEMBL_ID,Molecule_Pref_Name,Drug_CID,Drug_GDSC,Canonical_SMILES
CHEMBL435984,RORIDIN M,11813411,FALSE,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@@H]5O[C@H](C/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1)O[C@H]5C
CHEMBL341800,"(6'R,13'S) ISORORIDIN A",73352797,FALSE,CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\[C@H]([C@H](C)O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1
CHEMBL275719,,44267472,FALSE,CC(=O)O[C@H]1O[C@@H]2O[C@@H](OC(C)=O)[C@@H]3CC[C@H]([C@@H]1CC/C=C(\C)CCC=C(C)C)[C@H]23
CHEMBL39830,,9935663,FALSE,Nc1ccc(C(=O)N2CCc3cc(S(=O)(=O)N4CC(c5ccccc5)NC4=O)ccc32)cc1
CHEMBL136186,TRICHOVERRIN B,73348246,FALSE,CC1=C[C@H]2OC3C[C@@H](OC(=O)/C=C\C=C\[C@H](O)[C@@H](C)O)[C@](C)([C@@]2(COC(=O)/C=C(\C)CCO)CC1)[C@]31CO1
CHEMBL289615,,44286249,FALSE,O=C1NC(c2ccccc2)CN1S(=O)(=O)c1ccc2c(c1)CCC2
CHEMBL553,ERLOTINIB,176870,TRUE,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
CHEMBL2368056,Miophytocen C,73355931,FALSE,C/C1=C\C(=O)OC[C@]23CC[C@](C)(O)[C@H]4C[C@@]5(O)[C@H](O[C@H]42)[C@H](O)[C@@H](OC(=O)/C=C\C=C\[C@@H]2O[C@H](C1)O[C@H]2C)[C@]35C
CHEMBL7643,SULOFENUR,60417,FALSE,O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2
CHEMBL3215425,,90664168,FALSE,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC(=O)OCC1COC(C)(C)O1
CHEMBL268482,,44267489,FALSE,CC(=O)OC1O[C@@H]2O[C@@H](OC(C)=O)[C@@H]3CC[C@@H]([C@H]23)[C@H]1C
CHEMBL99024,,22466767,FALSE,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
CHEMBL358134,,10787675,FALSE,COc1ccc2nc3c(C(=O)NCCN(C)C)ccc(NCCN(C)C)c3cc2c1
CHEMBL136985,VERRUCARIN A,6326658,FALSE,CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\C(=O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1
CHEMBL38709,,21224885,FALSE,O=C(c1ccc([N+](=O)[O-])cc1)N1CCc2cc(S(=O)(=O)N3CC(c4ccccc4)NC3=O)ccc21
CHEMBL535811,,45263137,FALSE,CN(C)CCNC(=O)c1ccc(NCCN(C)C)c2cc3cc(N)ccc3nc12.Cl
CHEMBL443535,,44327023,FALSE,CCCC(=O)[C@@H](C)C1CC2C(CC=C3C[C@@H](O)CC[C@@]32C)C2C[C@H](OC3OCC(O)C(OC4OCC(O)C(O)C4OC(=O)c4ccc(OC)cc4)C3OC(C)=O)[C@@H](O)[C@]21C
CHEMBL357519,,288496,FALSE,O=C1c2ccsc2C(=O)c2sccc21
CHEMBL335603,13`-ACETYLTRICHOVERRIN B,73346736,FALSE,CC(=O)OC(C)[C@@H](O)/C=C/C=C\C(=O)O[C@@H]1CC2O[C@@H]3C=C(C)CC[C@]3(COC(=O)/C=C(\C)CCO)[C@]1(C)[C@]21CO1
CHEMBL136396,VERRUCARRIN M,11049378,FALSE,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\C(=O)OCC/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1
CHEMBL11492,,44267473,FALSE,CC(=O)O[C@H]1O[C@@H]2O[C@@H](OC(C)=O)[C@@H]3CC[C@H]([C@@H]1C)[C@H]23
CHEMBL9940,,107805,FALSE,CN(C)CCNC(=O)c1cccc2cc3ccccc3nc12
CHEMBL136053,TRICHOVERRIN A,73354304,FALSE,CC1=C[C@H]2OC3C[C@@H](OC(=O)/C=C\C=C\[C@H](O)[C@H](C)O)[C@](C)([C@@]2(COC(=O)/C=C(\C)CCO)CC1)[C@]31CO1
CHEMBL607707,PELITINIB,6445562,TRUE,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
CHEMBL145428,,11795002,FALSE,CN(C)CCNC(=O)c1ccc(NCCN(C)C)c2cc3cc(O)ccc3nc12
